startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
The tree has the height of a baby teacup poodle,The tree is extremely tall,The tree is short,a baby teacup poodle,A baby teacup poodle is extremely tall,A baby teacup poodle is short,1,782
The soda has the carbonation of a kid blowing into a cup with a straw,The soda has a lot of carbonation,The soda is flat,a kid blowing into a cup with a straw,A kid blowing into a cup with a straw has a lot of carbonation,A kid blowing into a cup with a straw is flat,0,783
The soda has the carbonation of a crepe dinner,The soda has a lot of carbonation,The soda is flat,a crepe dinner,A crepe dinner has a lot of carbonation,A crepe dinner is flat,1,783
Her fingernails were brittle like stale bread,Her fingernails were brittle,Her fingernails were not brittle,stale bread,Stale bread were brittle,Stale bread were not brittle,0,784
Her fingernails were brittle like diamonds,Her fingernails were brittle,Her fingernails were not brittle,diamonds,Diamonds were brittle,Diamonds were not brittle,1,784
His soul was a black hole,His soul was evil,His soul was good,a black hole,A black hole was evil,A black hole was good,0,786
She was a suitcase ready to be opened.,She was extroverted.,She was introverted.,a suitcase ready to be opened,A suitcase ready to be opened was extroverted.,A suitcase ready to be opened was introverted.,0,788
She was a locked treasure chest.,She was extroverted.,She was introverted.,a locked treasure chest,A locked treasure chest was extroverted.,A locked treasure chest was introverted.,1,788
He can run like a fugitive.,He can run really fast.,He cannot run really fast.,a fugitive,A fugitive can run really fast.,A fugitive cannot run really fast.,0,796
He can run like an eighty-year old man.,He can run really fast.,He cannot run really fast.,an eighty-year old man,An eighty-year old man can run really fast.,An eighty-year old man cannot run really fast.,1,796
My phone buzzes like a bee,My phone is busy.,My phone is quiet.,a bee,A bee is busy.,A bee is quiet.,0,801
My phone buzzes like a statue,My phone is busy.,My phone is quiet.,a statue,A statue is busy.,A statue is quiet.,1,801
The stick had the brittleness of the bones of an 80 year old woman who never drank milk,The stick is very brittle,The stick is strong,the bones of an 80 year old woman who never drank milk,The bones of an 80 year old woman who never drank milk is very brittle,The bones of an 80 year old woman who never drank milk is strong,0,805
Her perfume lingered like a mangy dog,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,a mangy dog,A mangy dog lingered heavily and smelled bad.,A mangy dog lingered lightly and smelled good.,0,812
Her perfume lingered like a fairy,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,a fairy,A fairy lingered heavily and smelled bad.,A fairy lingered lightly and smelled good.,1,812
That old machine is as useful as an udder on a bull,The machine is useless,The machine does a great job,an udder on a bull,An udder on a bull is useless,An udder on a bull does a great job,0,816
That old machine is as useful as new machines,The machine is useless,The machine does a great job,new machines,New machines is useless,New machines does a great job,1,816
He had the depth of a bathtub,He was shallow.,He was deep.,a bathtub,A bathtub was shallow.,A bathtub was deep.,0,817
He had the depth of the sea,He was shallow.,He was deep.,the sea,The sea was shallow.,The sea was deep.,1,817
The sky was a piece of onyx,The night sky was black.,The sky was white.,a piece of onyx,A piece of onyx was black.,A piece of onyx was white.,0,818
The sky was an opal,The night sky was black.,The sky was white.,an opal,An opal was black.,An opal was white.,1,818
The movie was as funny as a book of knock-knock jokes,The movie wasn't really funny.,The movie was hilarious.,a book of knock-knock jokes,A book of knock-knock jokes wasn't really funny.,A book of knock-knock jokes was hilarious.,0,821
The movie was as funny as a standup comedy show,The movie wasn't really funny.,The movie was hilarious.,a standup comedy show,A standup comedy show wasn't really funny.,A standup comedy show was hilarious.,1,821
The fence has the rust of an old nail,The fence is very rusty,The fence is not rusty,an old nail,An old nail is very rusty,An old nail is not rusty,0,824
The fence has the rust of a diamond,The fence is very rusty,The fence is not rusty,a diamond,A diamond is very rusty,A diamond is not rusty,1,824
She's as cultured as champagne.,She is very cultured.,She isn't cultured at all.,champagne,Champagne is very cultured.,Champagne isn't cultured at all.,0,827
She's as cultured as a bud-light.,She is very cultured.,She isn't cultured at all.,a bud-light,A bud-light is very cultured.,A bud-light isn't cultured at all.,1,827
Her tastes are more Ferrari than backyard junker.,Her tastes are extremely expensive.,Her tastes are cheap.,more Ferrari than backyard junker,More ferrari than backyard junker are extremely expensive.,More ferrari than backyard junker are cheap.,0,828
Her tastes are more backyard junker than Ferrari.,Her tastes are extremely expensive.,Her tastes are cheap.,more backyard junker than Ferrari,More backyard junker than ferrari are extremely expensive.,More backyard junker than ferrari are cheap.,1,828
His argument was like a shadow,his argument had no substance,his argument was felt,a shadow,A shadow had no substance,A shadow was felt,0,836
His argument was like a chiropractor,his argument had no substance,his argument was felt,a chiropractor,A chiropractor had no substance,A chiropractor was felt,1,836
The day was like a news clip,the day went by fast,the day was really long,a news clip,A news clip went by fast,A news clip was really long,0,837
The day was like the Pan-American Highway,the day went by fast,the day was really long,the Pan-American Highway,The pan-american highway went by fast,The pan-american highway was really long,1,837
The meeting was as solemn as Sunday morning Mass.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,Sunday morning Mass.,Sunday morning mass. had a tone of seriousness.,Sunday morning mass. had a tone of unseriousness.,0,838
The meeting was as solemn as a college football game.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,a college football game,A college football game had a tone of seriousness.,A college football game had a tone of unseriousness.,1,838
The restaurant experience was like a stately dinner.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,a stately dinner,A stately dinner was upper-class.,A stately dinner was homely and down-to-earth.,0,839
The restaurant experience was like a dinner at grandma's on the weekend.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,a dinner at grandma's on the weekend,A dinner at grandma's on the weekend was upper-class.,A dinner at grandma's on the weekend was homely and down-to-earth.,1,839
The lawyer was as humble as Icarus.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,Icarus,Icarus was showy and greatly believed in himself beyond reason.,Icarus was unassuming and had a gentle disposition.,0,840
The lawyer was as humble as an ancient monk.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,an ancient monk,An ancient monk was showy and greatly believed in himself beyond reason.,An ancient monk was unassuming and had a gentle disposition.,1,840
The bike tires have the sturdiness of a vanilla wafer.,The bike tires are flimsy.,The bike tires are well built.,a vanilla wafer,A vanilla wafer are flimsy.,A vanilla wafer are well built.,0,842
The bike tires have the sturdiness of Atlas.,The bike tires are flimsy.,The bike tires are well built.,Atlas,Atlas are flimsy.,Atlas are well built.,1,842
The lake is a wave pool.,The lake is choppy.,The lake is calm.,a wave pool,A wave pool is choppy.,A wave pool is calm.,0,844
The lake is a sheet of glass.,The lake is choppy.,The lake is calm.,a sheet of glass,A sheet of glass is choppy.,A sheet of glass is calm.,1,844
The ocean is a sheet of ice.,The ocean is smooth.,The ocean is choppy.,a sheet of ice,A sheet of ice is smooth.,A sheet of ice is choppy.,0,845
The ocean is a bed of rocks.,The ocean is smooth.,The ocean is choppy.,a bed of rocks,A bed of rocks is smooth.,A bed of rocks is choppy.,1,845
The TV show has the depth of a toilet.,The TV show is shallow.,The TV show is cerebral.,a toilet,A toilet is shallow.,A toilet is cerebral.,0,846
The TV show has the depth of the dead sea.,The TV show is shallow.,The TV show is cerebral.,the dead sea,The dead sea is shallow.,The dead sea is cerebral.,1,846
She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,wood shavings,Wood shavings was extremely flaky.,Wood shavings wasn't flaky at all.,0,848
